qlbase_method,usage_type,metric_type,metric_display_name,category,notes
time_truncate_func,range_filter,,,Time filter,Truncates timestamp to interval (day/hour/week etc.); used in time-bucketed aggregations
cast_to_timestamp_func,range_filter,,,Time filter,Casts a field or string to timestamp type; used in time range filters
cast_to_timestamp_with_tz_func,range_filter,,,Time filter,Casts to timestamp with timezone handling for UTC comparisons
cast_timestamp_to_field,range_filter,,,Time filter,Casts a timestamp literal back to a field's native type for filter predicates
cast_to_date,range_filter,,,Time filter,Casts an expression to DATE; used in date-based filtering
default_cast_to_timestamp_func,range_filter,,,Time filter,Default fallback timestamp cast used when field type is unknown
convert_to_utc,range_filter,,,Time filter,Converts a timezone-aware field to UTC
current_date_func,range_filter,,,Time filter,Returns CURRENT_DATE; used in date-based time range filters
current_timestamp_func,range_filter,,,Time filter,Returns NOW()/CURRENT_TIMESTAMP; used heavily in time range filters across all monitor types
add_days_func,range_filter,,,Time filter,Adds/subtracts N days from a date expression
add_days_timestamp_func,range_filter,,,Time filter,Adds/subtracts N days from a timestamp expression
add_hours_timestamp_func,range_filter,,,Time filter,Adds/subtracts N hours from a timestamp expression
date_literal,range_filter,,,Time filter,Converts a Python datetime to a SQL DATE literal
utc_literal,range_filter,,,Time filter,Converts a Python datetime to a UTC SQL timestamp literal
literal_datetime,range_filter,,,Time filter,Formats a datetime as a SQL literal; used in custom time-based filter predicates
literal_time_of_day,range_filter,,,Time filter,Formats a time-of-day value as a SQL literal for intraday filters
get_is_yesterday_expression,range_filter,,,Time filter,Filter expression matching timestamps from yesterday
get_in_past_days_expression,range_filter,,,Time filter,Filter expression for values within the past N days
get_in_past_hours_expression,range_filter,,,Time filter,Filter expression for values within the past N hours
get_in_past_calendar_week_expression,range_filter,,,Time filter,Filter expression for the current calendar week
get_in_past_calendar_month_expression,range_filter,,,Time filter,Filter expression for the current calendar month
get_days_of_week_expression,range_filter,,,Time filter,Filter expression limiting results to specific days of the week
convert_to_unix_timestamp_func,range_filter,,,Time filter,Converts a field to Unix epoch seconds; used in comparison monitor time calculations
get_regexp_expression,range_filter,,,Filter predicate,Regex match expression used in custom filter predicates and sampling
